
		Таблица лексем
------------------------------------------------------------------------------------------
   # | Лексема                     | Строка                      | Индекс в ТИ
------------------------------------------------------------------------------------------
0000 | t                           | 1                           | -
0001 | f                           | 1                           | -
0002 | i                           | 1                           | 0                      
0003 | (                           | 1                           | -
0004 | t                           | 1                           | -
0005 | i                           | 1                           | 1                      
0006 | ,                           | 1                           | -
0007 | t                           | 1                           | -
0008 | i                           | 1                           | 2                      
0009 | )                           | 1                           | -
0010 | {                           | 2                           | -
0011 | d                           | 3                           | -
0012 | t                           | 3                           | -
0013 | i                           | 3                           | 3                      
0014 | ;                           | 3                           | -
0015 | i                           | 4                           | 3                      
0016 | =                           | 4                           | -
0017 | i                           | 4                           | 1                      
0018 | v                       *   | 4                           | 4                      
0019 | (                           | 4                           | -
0020 | i                           | 4                           | 1                      
0021 | v                       +   | 4                           | 5                      
0022 | i                           | 4                           | 2                      
0023 | )                           | 4                           | -
0024 | ;                           | 4                           | -
0025 | r                           | 5                           | -
0026 | i                           | 5                           | 3                      
0027 | ;                           | 5                           | -
0028 | }                           | 6                           | -
0029 | ;                           | 6                           | -
0030 | t                           | 7                           | -
0031 | f                           | 7                           | -
0032 | i                           | 7                           | 6                      
0033 | (                           | 7                           | -
0034 | t                           | 7                           | -
0035 | i                           | 7                           | 7                      
0036 | ,                           | 7                           | -
0037 | t                           | 7                           | -
0038 | i                           | 7                           | 8                      
0039 | )                           | 7                           | -
0040 | {                           | 8                           | -
0041 | d                           | 9                           | -
0042 | t                           | 9                           | -
0043 | i                           | 9                           | 9                      
0044 | ;                           | 9                           | -
0045 | d                           | 10                          | -
0046 | t                           | 10                          | -
0047 | f                           | 10                          | -
0048 | i                           | 10                          | 10                     
0049 | (                           | 10                          | -
0050 | t                           | 10                          | -
0051 | i                           | 10                          | 7                      
0052 | ,                           | 10                          | -
0053 | t                           | 10                          | -
0054 | i                           | 10                          | 11                     
0055 | ,                           | 10                          | -
0056 | t                           | 11                          | -
0057 | i                           | 11                          | 12                     
0058 | )                           | 11                          | -
0059 | ;                           | 11                          | -
0060 | d                           | 12                          | -
0061 | t                           | 12                          | -
0062 | i                           | 12                          | 13                     
0063 | ;                           | 12                          | -
0064 | i                           | 13                          | 14                     
0065 | =                           | 13                          | -
0066 | i                           | 13                          | 10                     
0067 | (                           | 13                          | -
0068 | i                           | 13                          | 15                     
0069 | ,                           | 13                          | -
0070 | l                           | 13                          | 16                     
0071 | ,                           | 13                          | -
0072 | l                           | 13                          | 17                     
0073 | )                           | 13                          | -
0074 | v                       +   | 13                          | 5                      
0075 | i                           | 13                          | 18                     
0076 | ;                           | 13                          | -
0077 | r                           | 14                          | -
0078 | i                           | 14                          | 14                     
0079 | ;                           | 14                          | -
0080 | }                           | 15                          | -
0081 | ;                           | 15                          | -
